REF_DATE,GEO,DGUID,Duration of marriage,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2004,"Canada, place of occurrence",2016A000011124,"Year of marriage, all years",Number,223,units ,0,v42139286,1.1,69644,,,,0
2004,"Canada, place of occurrence",2016A000011124,"Duration of marriage, 0 years",Number,223,units ,0,v42139287,1.2,149,,,,0
2004,"Canada, place of occurrence",2016A000011124,"Duration of marriage, 1 to 4 years",Number,223,units ,0,v42139288,1.3,12581,,,,0
2004,"Canada, place of occurrence",2016A000011124,"Duration of marriage, 1 year",Number,223,units ,0,v42139289,1.4,1360,,,,0
2004,"Canada, place of occurrence",2016A000011124,"Duration of marriage, 2 years",Number,223,units ,0,v42139290,1.5,3298,,,,0
2004,"Canada, place of occurrence",2016A000011124,"Duration of marriage, 3 years",Number,223,units ,0,v42139291,1.6,4166,,,,0
2004,"Canada, place of occurrence",2016A000011124,"Duration of marriage, 4 years",Number,223,units ,0,v42139292,1.7,3757,,,,0
2004,"Canada, place of occurrence",2016A000011124,"Duration of marriage, 5 to 9 years",Number,223,units ,0,v42139293,1.8,15759,,,,0
2004,"Canada, place of occurrence",2016A000011124,"Duration of marriage, 5 years",Number,223,units ,0,v42139294,1.9,3587,,,,0
2004,"Canada, place of occurrence",2016A000011124,"Duration of marriage, 6 years",Number,223,units ,0,v42139295,1.1,3312,,,,0
2004,"Canada, place of occurrence",2016A000011124,"Duration of marriage, 7 years",Number,223,units ,0,v42139296,1.11,3076,,,,0
2004,"Canada, place of occurrence",2016A000011124,"Duration of marriage, 8 years",Number,223,units ,0,v42139297,1.12,3040,,,,0
2004,"Canada, place of occurrence",2016A000011124,"Duration of marriage, 9 years",Number,223,units ,0,v42139298,1.13,2744,,,,0
2004,"Canada, place of occurrence",2016A000011124,"Duration of marriage, 10 to 14 years",Number,223,units ,0,v42139299,1.14,12312,,,,0
2004,"Canada, place of occurrence",2016A000011124,"Duration of marriage, 10 years",Number,223,units ,0,v42139300,1.15,2654,,,,0
2004,"Canada, place of occurrence",2016A000011124,"Duration of marriage, 11 years",Number,223,units ,0,v42139301,1.16,2484,,,,0
2004,"Canada, place of occurrence",2016A000011124,"Duration of marriage, 12 years",Number,223,units ,0,v42139302,1.17,2371,,,,0
2004,"Canada, place of occurrence",2016A000011124,"Duration of marriage, 13 years",Number,223,units ,0,v42139303,1.18,2422,,,,0
2004,"Canada, place of occurrence",2016A000011124,"Duration of marriage, 14 years",Number,223,units ,0,v42139304,1.19,2381,,,,0
2004,"Canada, place of occurrence",2016A000011124,"Duration of marriage, 15 to 19 years",Number,223,units ,0,v42139305,1.2,9816,,,,0
