"REF_DATE","GEO","DGUID","Reason for marital breakdown","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2004","Canada, place of occurrence","2016A000011124","Total, reason for marital breakdown","Number","223","units ","0","v42137476","1.1","69608","","","","0"
"2004","Canada, place of occurrence","2016A000011124","Reason for marital breakdown, separation for at least one year","Number","223","units ","0","v42137477","1.2","65848","","","","0"
"2004","Canada, place of occurrence","2016A000011124","Reason for marital breakdown, adultery","Number","223","units ","0","v42137478","1.3","2182","","","","0"
"2004","Canada, place of occurrence","2016A000011124","Reason for marital breakdown, physical cruelty","Number","223","units ","0","v42137479","1.4","687","","","","0"
"2004","Canada, place of occurrence","2016A000011124","Reason for marital breakdown, mental cruelty","Number","223","units ","0","v42137480","1.5","891","","","","0"
"2004","Newfoundland and Labrador, place of occurrence","2016A000210","Total, reason for marital breakdown","Number","223","units ","0","v42137481","2.1","836","","","","0"
"2004","Newfoundland and Labrador, place of occurrence","2016A000210","Reason for marital breakdown, separation for at least one year","Number","223","units ","0","v42137482","2.2","816","","","","0"
"2004","Newfoundland and Labrador, place of occurrence","2016A000210","Reason for marital breakdown, adultery","Number","223","units ","0","v42137483","2.3","20","","","","0"
"2004","Newfoundland and Labrador, place of occurrence","2016A000210","Reason for marital breakdown, physical cruelty","Number","223","units ","0","v42137484","2.4","0","","","","0"
"2004","Newfoundland and Labrador, place of occurrence","2016A000210","Reason for marital breakdown, mental cruelty","Number","223","units ","0","v42137485","2.5","0","","","","0"
"2004","Prince Edward Island, place of occurrence","2016A000211","Total, reason for marital breakdown","Number","223","units ","0","v42137486","3.1","293","","","","0"
"2004","Prince Edward Island, place of occurrence","2016A000211","Reason for marital breakdown, separation for at least one year","Number","223","units ","0","v42137487","3.2","292","","","","0"
"2004","Prince Edward Island, place of occurrence","2016A000211","Reason for marital breakdown, adultery","Number","223","units ","0","v42137488","3.3","1","","","","0"
"2004","Prince Edward Island, place of occurrence","2016A000211","Reason for marital breakdown, physical cruelty","Number","223","units ","0","v42137489","3.4","0","","","","0"
"2004","Prince Edward Island, place of occurrence","2016A000211","Reason for marital breakdown, mental cruelty","Number","223","units ","0","v42137490","3.5","0","","","","0"
"2004","Nova Scotia, place of occurrence","2016A000212","Total, reason for marital breakdown","Number","223","units ","0","v42137491","4.1","1999","","","","0"
"2004","Nova Scotia, place of occurrence","2016A000212","Reason for marital breakdown, separation for at least one year","Number","223","units ","0","v42137492","4.2","1984","","","","0"
"2004","Nova Scotia, place of occurrence","2016A000212","Reason for marital breakdown, adultery","Number","223","units ","0","v42137493","4.3","7","","","","0"
"2004","Nova Scotia, place of occurrence","2016A000212","Reason for marital breakdown, physical cruelty","Number","223","units ","0","v42137494","4.4","5","","","","0"
"2004","Nova Scotia, place of occurrence","2016A000212","Reason for marital breakdown, mental cruelty","Number","223","units ","0","v42137495","4.5","3","","","","0"
"2004","New Brunswick, place of occurrence","2016A000213","Total, reason for marital breakdown","Number","223","units ","0","v42137496","5.1","1415","","","","0"
"2004","New Brunswick, place of occurrence","2016A000213","Reason for marital breakdown, separation for at least one year","Number","223","units ","0","v42137497","5.2","1400","","","","0"
"2004","New Brunswick, place of occurrence","2016A000213","Reason for marital breakdown, adultery","Number","223","units ","0","v42137498","5.3","14","","","","0"
"2004","New Brunswick, place of occurrence","2016A000213","Reason for marital breakdown, physical cruelty","Number","223","units ","0","v42137499","5.4","1","","","","0"
"2004","New Brunswick, place of occurrence","2016A000213","Reason for marital breakdown, mental cruelty","Number","223","units ","0","v42137500","5.5","0","","","","0"
"2004","Quebec, place of occurrence","2016A000224","Total, reason for marital breakdown","Number","223","units ","0","v42137501","6.1","15990","","","","0"
"2004","Quebec, place of occurrence","2016A000224","Reason for marital breakdown, separation for at least one year","Number","223","units ","0","v42137502","6.2","13051","","","","0"
"2004","Quebec, place of occurrence","2016A000224","Reason for marital breakdown, adultery","Number","223","units ","0","v42137503","6.3","1641","","","","0"
"2004","Quebec, place of occurrence","2016A000224","Reason for marital breakdown, physical cruelty","Number","223","units ","0","v42137504","6.4","510","","","","0"
"2004","Quebec, place of occurrence","2016A000224","Reason for marital breakdown, mental cruelty","Number","223","units ","0","v42137505","6.5","788","","","","0"
"2004","Ontario, place of occurrence","2016A000235","Total, reason for marital breakdown","Number","223","units ","0","v42137506","7.1","26356","","","","0"
"2004","Ontario, place of occurrence","2016A000235","Reason for marital breakdown, separation for at least one year","Number","223","units ","0","v42137507","7.2","26010","","","","0"
"2004","Ontario, place of occurrence","2016A000235","Reason for marital breakdown, adultery","Number","223","units ","0","v42137508","7.3","231","","","","0"
